timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1577995479865,30,get,200,OK,Group list 1-1,text,true,,12255,493,1,1,http://192.168.56.101/group.php,28,0,0
1577995479895,45,get,200,OK,Group list 1-1,text,true,,12254,493,1,2,http://192.168.56.101/group.php,36,0,0
1577995479940,98,get,200,OK,Group list 1-1,text,true,,12256,493,1,3,http://192.168.56.101/group.php,89,0,0
1577995480038,99,get,200,OK,Group list 1-1,text,true,,12268,493,1,3,http://192.168.56.101/group.php,88,0,0
1577995480137,106,get,200,OK,Group list 1-1,text,true,,12280,493,1,3,http://192.168.56.101/group.php,90,0,0
1577995480243,92,get,200,OK,Group list 1-1,text,true,,12290,493,1,3,http://192.168.56.101/group.php,78,0,0
1577995480335,97,get,200,OK,Group list 1-1,text,true,,12302,493,1,3,http://192.168.56.101/group.php,80,0,0
1577995480432,98,get,200,OK,Group list 1-1,text,true,,12314,493,1,3,http://192.168.56.101/group.php,83,0,0
1577995480530,101,get,200,OK,Group list 1-1,text,true,,12323,493,1,3,http://192.168.56.101/group.php,84,0,0
1577995480631,97,get,200,OK,Group list 1-1,text,true,,12335,493,1,3,http://192.168.56.101/group.php,86,0,0
1577995480728,81,get,200,OK,Group list 1-1,text,true,,12349,493,1,3,http://192.168.56.101/group.php,74,0,0
1577995480809,111,get,200,OK,Group list 1-1,text,true,,12355,493,2,5,http://192.168.56.101/group.php,92,0,0
1577995480864,105,get,200,OK,Group list 1-2,text,true,,12360,493,2,6,http://192.168.56.101/group.php,76,0,1
1577995480920,78,get,200,OK,Group list 1-1,text,true,,12359,493,2,6,http://192.168.56.101/group.php,66,0,0
1577995480970,188,get,200,OK,Group list 1-2,text,true,,12371,493,2,6,http://192.168.56.101/group.php,187,0,0
1577995480998,161,get,200,OK,Group list 1-1,text,true,,12371,493,2,6,http://192.168.56.101/group.php,148,0,0
1577995481158,291,get,200,OK,Group list 1-2,text,true,,12398,493,2,6,http://192.168.56.101/group.php,268,0,0
1577995481159,298,get,200,OK,Group list 1-1,text,true,,12398,493,2,6,http://192.168.56.101/group.php,259,0,0
1577995481449,152,get,200,OK,Group list 1-2,text,true,,12428,493,2,6,http://192.168.56.101/group.php,148,0,0
1577995481457,225,get,200,OK,Group list 1-1,text,true,,12428,493,2,6,http://192.168.56.101/group.php,200,0,0
1577995481602,117,get,200,OK,Group list 1-2,text,true,,12446,493,2,6,http://192.168.56.101/group.php,113,0,0
1577995481682,113,get,200,OK,Group list 1-1,text,true,,12449,493,2,6,http://192.168.56.101/group.php,105,0,0
1577995481719,115,get,200,OK,Group list 1-2,text,true,,12457,493,2,6,http://192.168.56.101/group.php,107,0,0
1577995481795,113,get,200,OK,Group list 1-1,text,true,,12457,493,3,7,http://192.168.56.101/group.php,109,0,0
1577995481834,331,get,200,OK,Group list 1-2,text,true,,12465,493,3,9,http://192.168.56.101/group.php,288,0,0
1577995481865,301,get,200,OK,Group list 1-3,text,true,,12466,493,3,9,http://192.168.56.101/group.php,261,0,1
1577995481908,274,get,200,OK,Group list 1-1,text,true,,12466,493,3,9,http://192.168.56.101/group.php,273,0,0
1577995482165,254,get,200,OK,Group list 1-2,text,true,,12504,493,3,9,http://192.168.56.101/group.php,253,0,0
1577995482182,250,get,200,OK,Group list 1-1,text,true,,12504,493,3,9,http://192.168.56.101/group.php,233,0,0
1577995482166,267,get,200,OK,Group list 1-3,text,true,,12500,493,3,9,http://192.168.56.101/group.php,245,0,0
1577995482419,302,get,200,OK,Group list 1-2,text,true,,12524,493,3,9,http://192.168.56.101/group.php,280,0,0
1577995482432,290,get,200,OK,Group list 1-1,text,true,,12524,493,3,9,http://192.168.56.101/group.php,277,0,0
1577995482433,297,get,200,OK,Group list 1-3,text,true,,12524,493,3,9,http://192.168.56.101/group.php,273,0,0
